X,Y,Z,Digit
-0.8133107,7.904157,4.585112,1
-1.1148937,7.787994,4.511549,1
-0.3006295,8.013136,4.5648923,1
-1.0641178,7.864282,4.397199,1
-0.6267373,7.818662,4.3063054,1
-0.55722386,7.923575,4.484046,1
-0.6153088,7.7350726,4.2714853,1
-0.48035273,7.974256,4.661421,1
-0.92497915,7.7588606,4.430847,1
-0.9609891,7.9008827,4.5786266,1
2.2874615,10.060012,5.127559,0
9.266887,6.4218,7.7898083,0
9.304298,6.300366,7.8468256,0
2.22087,9.691009,5.3058934,0
1.6666616,9.217736,6.331522,0
4.611254,6.8866377,6.9426093,0
1.4836657,8.415893,5.4716406,0
1.5921355,9.453995,5.957682,0
2.5182524,9.275852,5.187243,0
9.358088,6.4858255,7.6456027,0
0.64137775,8.401362,4.597309,0
8.962752,5.096274,6.718957,0
2.459127,8.435291,6.843868,0
2.7824402,8.402317,7.074422,0
1.2385184,8.3209305,6.4056215,0
1.4472122,8.507848,6.34264,0
2.5212972,9.930887,5.0173607,0
2.1803033,9.777384,5.3106527,0
8.283434,5.768047,6.7833815,0
0.5070222,8.287106,4.680659,0
2.5513358,8.201249,6.613531,0
1.9673753,9.263844,5.9874773,0
1.9424025,8.981671,5.3518243,0
4.0394316,7.1210475,6.9365816,0
10.16465,5.7398295,7.545218,0
1.7642292,7.9357963,6.057509,0
1.8857749,9.16773,5.7074394,0
4.4355927,7.185524,7.0530167,0
3.9045284,7.085972,7.015975,0
4.418501,7.2295713,6.802755,0
3.8274238,7.1084657,6.828323,0
4.8699594,6.986163,6.9477987,0
4.8540096,7.085765,7.016908,0
5.0511813,7.1611767,7.091855,0
2.0217,8.965194,6.4346,0
1.7576013,9.144532,6.401329,0
0.36457732,8.195987,4.549803,0
8.470328,4.929406,6.75021,0
1.7783736,9.43529,5.81721,0
1.4949126,9.291817,6.1073127,0
2.227954,8.684943,6.3841653,0
1.9988409,9.268134,5.2566175,0
2.5447783,9.666712,5.1056266,0
2.5758069,7.8044386,6.9269943,0
2.958124,8.921404,5.5498385,0
2.4591727,9.206817,5.1592307,0
5.087043,7.217086,7.1286726,0
2.7654128,9.223275,5.13401,0
5.0023217,7.272371,7.1242332,0
2.7774706,8.832632,5.7330747,0
1.81275,7.8613253,6.1851983,0
2.1644711,8.344019,6.1739984,0
2.7136624,8.23167,7.0806975,0
4.6470814,6.8821115,6.8299503,0
4.190536,7.2950387,7.1541896,0
3.4477282,7.454252,7.199008,0
4.1772704,7.433579,7.0375323,0
2.914208,9.087032,5.27662,0
2.9395068,8.205837,7.0069113,0
9.466278,5.6149855,7.27572,0
3.0569334,8.919674,5.326773,0
1.9330856,7.890223,6.396472,0
2.7428946,7.536305,6.627532,0
2.8766308,7.713617,6.7484183,0
2.6284518,8.161458,6.317355,0
2.190087,8.18567,6.2461143,0
2.7236793,7.8018165,7.1844244,0
2.9589102,7.8315845,7.2069416,0
3.084305,7.448079,6.850759,0
3.09867,7.9616137,7.0843186,0
3.4155295,7.823727,6.3416705,0
8.571199,4.876175,6.813283,0
8.602207,4.970636,7.086161,0
8.607484,4.89141,7.1785645,0
8.52814,4.8376746,7.120446,0
9.302461,6.06978,7.991883,0
9.472236,5.8882823,7.9098425,0
10.300818,5.0957527,6.9163127,0
10.336604,5.2622232,6.770427,0
10.030514,5.6326723,7.5423493,0
10.129969,5.721045,6.2942114,0
9.939703,5.71009,6.4794297,0
9.518596,5.205074,6.8936715,0
10.058624,5.7169166,6.394633,0
10.237943,5.545619,7.5434365,0
9.342257,4.395335,7.5455537,0
9.252327,5.032919,6.9185114,0
10.370521,5.3074493,7.654337,0
10.475742,4.753252,7.540721,0
10.181244,4.117275,7.672247,0
9.600668,3.6722555,8.467817,0
9.777713,3.3302226,8.711504,0
9.60105,3.482016,8.696314,0
9.732795,3.2695773,8.793219,0
10.527812,4.1364875,7.9487405,0
9.459956,5.6727123,8.044194,0
10.70038,4.564803,7.8121934,0
10.5146055,4.309679,7.6182647,0
10.316934,5.560568,6.420107,0
10.640188,3.6393545,8.212063,0
10.733853,3.719377,8.170786,0
10.34197,4.5791297,7.602875,0
9.961029,5.849821,6.62569,0
10.067859,5.6579185,6.5099425,0
9.059014,5.158933,7.019184,0
10.024964,4.3041396,7.525092,0
10.274499,5.358586,7.7031207,0
10.175522,3.5777953,8.278506,0
9.782052,4.4217496,7.5126452,0
10.286366,3.4513652,8.291162,0
10.07715,3.4157627,8.490041,0
9.1817665,5.144611,7.161865,0
9.542599,4.766388,7.5812383,0
10.293773,3.981764,7.672575,0
10.594946,4.929484,7.7618737,0
10.27554,3.7924957,7.9985256,0
9.805831,3.9146774,8.177552,0
10.022568,4.029938,8.211687,0
10.387279,3.6968193,8.056524,0
